07/19/2011 18:05:03 - Maximus[2000000]: @hide
07/19/2011 18:05:05 - Maximus[2000000]: @speed 
07/19/2011 18:05:09 - Maximus[2000000]: @speed 0
07/19/2011 18:05:31 - Maximus[2000000]: @reloadscript
07/20/2011 14:11:51 - Maximus[2000000]: @hide
07/20/2011 14:11:53 - Maximus[2000000]: @heal
07/20/2011 14:12:46 - night_darkness[0]: @effect 334
07/20/2011 14:14:46 - night_darkness[0]: @effect 334
07/20/2011 14:16:46 - night_darkness[0]: @effect 334
07/20/2011 14:18:46 - night_darkness[0]: @effect 334
07/20/2011 14:20:46 - night_darkness[0]: @effect 334
07/20/2011 14:22:46 - night_darkness[0]: @effect 334
07/20/2011 14:24:46 - night_darkness[0]: @effect 334
07/20/2011 14:26:04 - Maximus[2000000]: @effect 334
07/20/2011 14:26:46 - night_darkness[0]: @effect 334
07/20/2011 14:28:04 - night_darkness[0]: @effect 334
07/20/2011 14:28:46 - night_darkness[0]: @effect 334
07/20/2011 14:29:46 - night_darkness[0]: @effect 334
07/20/2011 14:30:13 - night_darkness[0]: @effect 334
07/20/2011 14:31:04 - night_darkness[0]: @effect 334
07/20/2011 14:31:46 - night_darkness[0]: @effect 334
07/20/2011 14:32:13 - night_darkness[0]: @effect 334
07/20/2011 14:33:04 - night_darkness[0]: @effect 334
07/20/2011 14:33:46 - night_darkness[0]: @effect 334
07/20/2011 14:34:13 - night_darkness[0]: @effect 334
07/20/2011 14:35:04 - night_darkness[0]: @effect 334
07/20/2011 14:35:47 - night_darkness[0]: @effect 334
07/20/2011 14:36:13 - night_darkness[0]: @effect 334
07/20/2011 14:37:04 - night_darkness[0]: @effect 334
07/20/2011 14:37:47 - night_darkness[0]: @effect 334
07/20/2011 14:38:13 - night_darkness[0]: @effect 334
07/20/2011 14:39:04 - night_darkness[0]: @effect 334
07/20/2011 14:39:47 - night_darkness[0]: @effect 334
07/20/2011 14:40:04 - night_darkness[0]: @effect 334
07/20/2011 14:40:13 - night_darkness[0]: @effect 334
07/20/2011 14:40:47 - night_darkness[0]: @effect 334
07/20/2011 14:41:04 - night_darkness[0]: @effect 334
07/20/2011 14:41:32 - night_darkness[0]: @effect 334
07/20/2011 14:41:55 - night_darkness[0]: @effect 334
07/20/2011 14:42:13 - night_darkness[0]: @effect 334
07/20/2011 14:42:47 - night_darkness[0]: @effect 334
07/20/2011 14:43:04 - night_darkness[0]: @effect 334
07/20/2011 14:43:24 - Maximus[2000000]: @effect 334
07/20/2011 14:43:47 - night_darkness[0]: @effect 334
07/20/2011 14:44:04 - night_darkness[0]: @effect 334
07/20/2011 14:44:13 - night_darkness[0]: @effect 334
07/20/2011 14:44:32 - night_darkness[0]: @effect 334
07/20/2011 14:44:55 - night_darkness[0]: @effect 334
07/20/2011 14:45:24 - night_darkness[0]: @effect 334
07/20/2011 14:45:47 - night_darkness[0]: @effect 334
07/20/2011 14:46:04 - night_darkness[0]: @effect 334
07/20/2011 14:46:13 - night_darkness[0]: @effect 334
07/20/2011 14:46:32 - night_darkness[0]: @effect 334
07/20/2011 14:46:55 - night_darkness[0]: @effect 334
07/20/2011 14:47:24 - night_darkness[0]: @effect 334
07/20/2011 14:47:47 - night_darkness[0]: @effect 334
07/20/2011 14:48:04 - night_darkness[0]: @effect 334
07/20/2011 14:48:13 - night_darkness[0]: @effect 334
07/20/2011 14:48:32 - night_darkness[0]: @effect 334
07/20/2011 14:48:55 - night_darkness[0]: @effect 334
07/20/2011 14:49:24 - night_darkness[0]: @effect 334
07/20/2011 14:49:47 - night_darkness[0]: @effect 334
07/20/2011 14:50:04 - night_darkness[0]: @effect 334
07/20/2011 14:50:13 - night_darkness[0]: @effect 334
07/20/2011 14:50:32 - night_darkness[0]: @effect 334
07/20/2011 14:50:55 - night_darkness[0]: @effect 334
07/20/2011 14:51:24 - night_darkness[0]: @effect 334
07/20/2011 14:51:47 - night_darkness[0]: @effect 334
07/20/2011 14:52:04 - night_darkness[0]: @effect 334
07/20/2011 14:52:13 - night_darkness[0]: @effect 334
07/20/2011 14:52:32 - night_darkness[0]: @effect 334
07/20/2011 14:52:55 - night_darkness[0]: @effect 334
07/20/2011 14:53:24 - night_darkness[0]: @effect 334
07/20/2011 14:53:47 - night_darkness[0]: @effect 334
07/20/2011 14:54:04 - night_darkness[0]: @effect 334
07/20/2011 14:54:13 - night_darkness[0]: @effect 334
07/20/2011 14:54:32 - night_darkness[0]: @effect 334
07/20/2011 14:54:55 - night_darkness[0]: @effect 334
07/20/2011 14:55:24 - night_darkness[0]: @effect 334
07/20/2011 14:55:47 - night_darkness[0]: @effect 334
07/20/2011 14:56:04 - night_darkness[0]: @effect 334
07/20/2011 14:56:13 - night_darkness[0]: @effect 334
07/20/2011 14:56:32 - night_darkness[0]: @effect 334
07/20/2011 14:56:55 - night_darkness[0]: @effect 334
07/20/2011 14:57:24 - night_darkness[0]: @effect 334
07/20/2011 14:57:47 - night_darkness[0]: @effect 334
07/20/2011 14:58:04 - night_darkness[0]: @effect 334
07/20/2011 14:58:13 - night_darkness[0]: @effect 334
07/20/2011 14:58:32 - night_darkness[0]: @effect 334
07/20/2011 14:58:55 - night_darkness[0]: @effect 334
07/20/2011 14:59:24 - night_darkness[0]: @effect 334
07/20/2011 14:59:47 - night_darkness[0]: @effect 334
07/20/2011 15:00:04 - night_darkness[0]: @effect 334
07/20/2011 15:00:13 - night_darkness[0]: @effect 334
07/20/2011 15:00:32 - night_darkness[0]: @effect 334
07/20/2011 15:00:55 - night_darkness[0]: @effect 334
07/20/2011 15:01:24 - night_darkness[0]: @effect 334
07/20/2011 15:01:47 - night_darkness[0]: @effect 334
07/20/2011 15:02:04 - night_darkness[0]: @effect 334
07/20/2011 15:02:13 - night_darkness[0]: @effect 334
07/20/2011 15:02:33 - night_darkness[0]: @effect 334
07/20/2011 15:02:55 - night_darkness[0]: @effect 334
07/20/2011 15:03:24 - night_darkness[0]: @effect 334
07/20/2011 15:03:47 - night_darkness[0]: @effect 334
07/20/2011 15:04:04 - night_darkness[0]: @effect 334
07/20/2011 15:04:13 - night_darkness[0]: @effect 334
07/20/2011 15:04:33 - night_darkness[0]: @effect 334
07/20/2011 15:04:55 - night_darkness[0]: @effect 334
07/20/2011 15:05:24 - night_darkness[0]: @effect 334
07/20/2011 15:05:47 - night_darkness[0]: @effect 334
07/20/2011 15:06:04 - night_darkness[0]: @effect 334
07/20/2011 15:06:14 - night_darkness[0]: @effect 334
07/20/2011 15:06:33 - night_darkness[0]: @effect 334
07/20/2011 15:06:55 - night_darkness[0]: @effect 334
07/20/2011 15:07:24 - night_darkness[0]: @effect 334
07/20/2011 15:07:47 - night_darkness[0]: @effect 334
07/20/2011 15:08:05 - night_darkness[0]: @effect 334
07/20/2011 15:08:14 - night_darkness[0]: @effect 334
07/20/2011 15:08:33 - night_darkness[0]: @effect 334
07/20/2011 15:08:55 - night_darkness[0]: @effect 334
07/20/2011 15:09:25 - night_darkness[0]: @effect 334
07/20/2011 15:09:47 - night_darkness[0]: @effect 334
07/20/2011 15:10:05 - night_darkness[0]: @effect 334
07/20/2011 15:10:14 - night_darkness[0]: @effect 334
07/20/2011 15:10:33 - night_darkness[0]: @effect 334
07/20/2011 15:10:56 - night_darkness[0]: @effect 334
07/20/2011 15:11:25 - night_darkness[0]: @effect 334
07/20/2011 15:11:47 - night_darkness[0]: @effect 334
07/20/2011 15:12:05 - night_darkness[0]: @effect 334
07/20/2011 15:12:14 - night_darkness[0]: @effect 334
07/20/2011 15:12:33 - night_darkness[0]: @effect 334
07/20/2011 15:12:47 - Maximus[2000000]: @effect 334
07/20/2011 15:12:50 - Maximus[2000000]: @hide
07/20/2011 15:13:01 - Maximus[2000000]: @speed 0
07/20/2011 15:13:05 - night_darkness[0]: @effect 334
07/20/2011 15:13:25 - night_darkness[0]: @effect 334
07/20/2011 15:13:47 - night_darkness[0]: @effect 334
07/20/2011 15:13:56 - night_darkness[0]: @effect 334
07/20/2011 15:14:14 - night_darkness[0]: @effect 334
07/20/2011 15:14:33 - night_darkness[0]: @effect 334
07/20/2011 15:14:48 - night_darkness[0]: @effect 334
07/20/2011 15:15:05 - night_darkness[0]: @effect 334
07/20/2011 15:15:25 - night_darkness[0]: @effect 334
07/20/2011 15:15:47 - night_darkness[0]: @effect 334
07/20/2011 15:15:56 - night_darkness[0]: @effect 334
07/20/2011 15:16:14 - night_darkness[0]: @effect 334
07/20/2011 15:16:33 - night_darkness[0]: @effect 334
07/20/2011 15:16:48 - night_darkness[0]: @effect 334
07/20/2011 15:17:05 - night_darkness[0]: @effect 334
07/20/2011 15:17:25 - night_darkness[0]: @effect 334
07/20/2011 15:17:47 - night_darkness[0]: @effect 334
07/20/2011 15:17:56 - night_darkness[0]: @effect 334
07/20/2011 15:18:14 - night_darkness[0]: @effect 334
07/20/2011 15:18:33 - night_darkness[0]: @effect 334
07/20/2011 15:18:48 - night_darkness[0]: @effect 334
07/20/2011 15:19:05 - night_darkness[0]: @effect 334
07/20/2011 15:19:20 - Epsensius[2000004]: @effect 334
07/20/2011 15:19:33 - night_darkness[0]: @effect 334
07/20/2011 15:19:48 - night_darkness[0]: @effect 334
07/20/2011 15:20:05 - night_darkness[0]: @effect 334
07/20/2011 15:20:14 - night_darkness[0]: @effect 334
07/20/2011 15:20:25 - night_darkness[0]: @effect 334
07/20/2011 15:20:48 - night_darkness[0]: @effect 334
07/20/2011 15:20:56 - night_darkness[0]: @effect 334
07/20/2011 15:21:20 - night_darkness[0]: @effect 334
07/20/2011 15:21:33 - night_darkness[0]: @effect 334
07/20/2011 15:21:48 - night_darkness[0]: @effect 334
07/20/2011 15:22:05 - night_darkness[0]: @effect 334
07/20/2011 15:22:14 - night_darkness[0]: @effect 334
07/20/2011 15:22:25 - night_darkness[0]: @effect 334
07/20/2011 15:22:48 - night_darkness[0]: @effect 334
07/20/2011 15:22:56 - night_darkness[0]: @effect 334
07/20/2011 15:23:20 - night_darkness[0]: @effect 334
07/20/2011 15:23:33 - night_darkness[0]: @effect 334
07/20/2011 15:23:48 - night_darkness[0]: @effect 334
07/20/2011 15:24:05 - night_darkness[0]: @effect 334
07/20/2011 15:24:14 - night_darkness[0]: @effect 334
07/20/2011 15:24:25 - night_darkness[0]: @effect 334
07/20/2011 15:24:48 - night_darkness[0]: @effect 334
07/20/2011 15:24:56 - night_darkness[0]: @effect 334
07/20/2011 15:25:20 - night_darkness[0]: @effect 334
07/20/2011 15:25:33 - night_darkness[0]: @effect 334
07/20/2011 15:25:48 - night_darkness[0]: @effect 334
07/20/2011 15:26:05 - night_darkness[0]: @effect 334
07/20/2011 15:26:14 - night_darkness[0]: @effect 334
07/20/2011 15:26:25 - night_darkness[0]: @effect 334
07/20/2011 15:26:48 - night_darkness[0]: @effect 334
07/20/2011 15:26:56 - night_darkness[0]: @effect 334
07/20/2011 17:21:08 - Maximus[2000000]: @effect 334
07/20/2011 17:23:08 - night_darkness[0]: @effect 334
07/20/2011 17:25:08 - night_darkness[0]: @effect 334
